timestamp(ms),RawGyA,SmRrCA,CrntGyASlow,SmGyA,FlGyA,StprPos,mGyA,RawGA,RwGyA,SmRCA,SmyA,awGyA,SmRrC,
"1666701848,672","1,74",,,,,,,,,,,,,
"1666701848,681","1,73",,,,,,,,,,,,,
"1666701848,692","1,73",,,,,,,,,,,,,
"1666701848,702","1,73",,,,,,,,,,,,,
"1666701848,711","1,73","6,24",,,,,,,,,,,,
"1666701848,713",,,"1,73","1,74",,,,,,,,,,
"1666701848,716",,,,,"1,65",,,,,,,,,
"1666701848,721","1,73",,,,,,,,,,,,,
"1666701848,732","1,73",,,,,,,,,,,,,
"1666701848,741","1,73",,,,,,,,,,,,,
"1666701848,752","1,73",,,,,,,,,,,,,
"1666701848,761","1,73",,,,,,,,,,,,,
"1666701848,77","1,73",,,,,,,,,,,,,
"1666701848,771",,"6,24",,,,,,,,,,,,
"1666701848,773",,,"1,73","1,74",,,,,,,,,,
"1666701848,777",,,,,"1,65",,,,,,,,,
"1666701848,782","1,73",,,,,,,,,,,,,
"1666701848,791","1,73",,,,,,,,,,,,,
"1666701848,802","1,73",,,,,,,,,,,,,
"1666701848,812","1,73",,,,,,,,,,,,,
"1666701848,822","1,73",,,,,,,,,,,,,
"1666701848,83","1,73","6,24",,,,,,,,,,,,
"1666701848,833",,,"1,73","1,73",,,,,,,,,,
"1666701848,836",,,,,"1,65",,,,,,,,,
"1666701848,841","1,73",,,,,,,,,,,,,
"1666701848,851","1,73",,,,,,,,,,,,,
"1666701848,862","1,73",,,,,,,,,,,,,
"1666701848,872","1,73",,,,,,,,,,,,,
"1666701848,882","1,73",,,,,,,,,,,,,
"1666701848,891","1,73","6,24",,,,,,,,,,,,
"1666701848,893",,,"1,73","1,73",,,,,,,,,,
"1666701848,897",,,,,"1,66",,,,,,,,,
"1666701848,905",,,,,,"4,45",,,,,,,,
"1666701848,912","1,73",,,,,,,,,,,,,
"1666701848,922","1,73",,,,,,,,,,,,,
"1666701848,932","1,73",,,,,,,,,,,,,
"1666701848,942","1,73",,,,,,,,,,,,,
"1666701848,951","1,73",,,,,,,,,,,,,
"1666701848,96","1,73",,,,,,,,,,,,,
"1666701848,961",,"6,24",,,,,,,,,,,,
"1666701848,963",,,"1,73","1,73",,,,,,,,,,
"1666701848,966",,,,,"1,66",,,,,,,,,
"1666701848,971","1,73",,,,,,,,,,,,,
"1666701848,982","1,73",,,,,,,,,,,,,
"1666701848,991","1,73",,,,,,,,,,,,,
"1666701849,002","1,73",,,,,,,,,,,,,
"1666701849,011","1,73",,,,,,,,,,,,,
"1666701849,02","1,73","6,24",,,,,,,,,,,,
"1666701849,023",,,"1,73","1,73",,,,,,,,,,
"1666701849,027",,,,,"1,66",,,,,,,,,
"1666701849,031","1,73",,,,,,,,,,,,,
"1666701849,042","1,73",,,,,,,,,,,,,
"1666701849,051","1,73",,,,,,,,,,,,,
"1666701849,061","1,73",,,,,,,,,,,,,
"1666701849,071","1,73",,,,,,,,,,,,,
"1666701849,08","1,73","6,24",,,,,,,,,,,,
"1666701849,083",,,"1,73","1,73",,,,,,,,,,
"1666701849,087",,,,,"1,66",,,,,,,,,
"1666701849,091","1,73",,,,,,,,,,,,,
"1666701849,102","1,73",,,,,,,,,,,,,
"1666701849,111","1,73",,,,,,,,,,,,,
"1666701849,122","1,73",,,,,,,,,,,,,
"1666701849,131","1,73",,,,,,,,,,,,,
"1666701849,14","1,73","6,24",,,,,,,,,,,,
"1666701849,143",,,"1,73","1,73",,,,,,,,,,
"1666701849,146",,,,,"1,67",,,,,,,,,
"1666701849,151","1,73",,,,,,,,,,,,,
"1666701849,161","1,73",,,,,,,,,,,,,
"1666701849,171","1,73",,,,,,,,,,,,,
"1666701849,181","1,73",,,,,,,,,,,,,
"1666701849,191","1,73",,,,,,,,,,,,,
"1666701849,2","1,73","6,24",,,,,,,,,,,,
"1666701849,203",,,"1,73","1,73",,,,,,,,,,
"1666701849,206",,,,,"1,67",,,,,,,,,
"1666701849,211","1,73",,,,,,,,,,,,,
"1666701849,221","1,73",,,,,,,,,,,,,
"1666701849,231","1,73",,,,,,,,,,,,,
"1666701849,241","1,73",,,,,,,,,,,,,
"1666701849,251","1,73",,,,,,,,,,,,,
"1666701849,261","1,73","6,24",,,,,,,,,,,,
"1666701849,263",,,"1,73","1,73",,,,,,,,,,
"1666701849,266",,,,,"1,67",,,,,,,,,
"1666701849,271","1,73",,,,,,,,,,,,,
"1666701849,281","1,73",,,,,,,,,,,,,
"1666701849,291","1,73",,,,,,,,,,,,,
"1666701849,301","1,73",,,,,,,,,,,,,
"1666701849,311","1,73",,,,,,,,,,,,,
"1666701849,32","1,73","6,24",,,,,,,,,,,,
"1666701849,323",,,"1,73","1,73",,,,,,,,,,
"1666701849,326",,,,,"1,67",,,,,,,,,
"1666701849,331","1,73",,,,,,,,,,,,,
"1666701849,342","1,73",,,,,,,,,,,,,
"1666701849,351","1,73",,,,,,,,,,,,,
"1666701849,361","1,73",,,,,,,,,,,,,
"1666701849,371","1,73",,,,,,,,,,,,,
"1666701849,38","1,73","6,24",,,,,,,,,,,,
"1666701849,383",,,"1,73","1,73",,,,,,,,,,
"1666701849,386",,,,,"1,67",,,,,,,,,
"1666701849,391","1,73",,,,,,,,,,,,,
"1666701849,401","1,73",,,,,,,,,,,,,
"1666701849,411","1,73",,,,,,,,,,,,,
"1666701849,421","1,73",,,,,,,,,,,,,
"1666701849,432","1,73",,,,,,,,,,,,,
"1666701849,44","1,73","6,24",,,,,,,,,,,,
"1666701849,443",,,"1,73","1,73",,,,,,,,,,
"1666701849,446",,,,,"1,68",,,,,,,,,
"1666701849,451","1,73",,,,,,,,,,,,,
"1666701849,461","1,73",,,,,,,,,,,,,
"1666701849,471","1,73",,,,,,,,,,,,,
"1666701849,481","1,73",,,,,,,,,,,,,
"1666701849,491","1,73",,,,,,,,,,,,,
"1666701849,5","1,73","6,24",,,,,,,,,,,,
"1666701849,503",,,"1,73","1,73",,,,,,,,,,
"1666701849,506",,,,,"1,68",,,,,,,,,
"1666701849,511","1,73",,,,,,,,,,,,,
"1666701849,521","1,73",,,,,,,,,,,,,
"1666701849,531","1,73",,,,,,,,,,,,,
"1666701849,541","1,73",,,,,,,,,,,,,
"1666701849,551","1,73",,,,,,,,,,,,,
"1666701849,56","1,73","6,24",,,,,,,,,,,,
"1666701849,563",,,"1,73","1,73",,,,,,,,,,
"1666701849,567",,,,,"1,68",,,,,,,,,
"1666701849,571","1,73",,,,,,,,,,,,,
"1666701849,581","1,73",,,,,,,,,,,,,
"1666701849,591","1,73",,,,,,,,,,,,,
"1666701849,601","1,73",,,,,,,,,,,,,
"1666701849,611","1,73",,,,,,,,,,,,,
"1666701849,62","1,73",,,,,,,,,,,,,
"1666701849,621",,"6,24",,,,,,,,,,,,
"1666701849,623",,,"1,73","1,73",,,,,,,,,,
"1666701849,626",,,,,"1,68",,,,,,,,,
"1666701849,631","1,73",,,,,,,,,,,,,
"1666701849,641","1,73",,,,,,,,,,,,,
"1666701849,651","1,73",,,,,,,,,,,,,
"1666701849,661","1,73",,,,,,,,,,,,,
"1666701849,671","1,73",,,,,,,,,,,,,
"1666701849,68","1,73","6,24",,,,,,,,,,,,
"1666701849,683",,,"1,73","1,73",,,,,,,,,,
"1666701849,686",,,,,"1,68",,,,,,,,,
"1666701849,691","1,73",,,,,,,,,,,,,
"1666701849,701","1,73",,,,,,,,,,,,,
"1666701849,711","1,73",,,,,,,,,,,,,
"1666701849,721","1,73",,,,,,,,,,,,,
"1666701849,731","1,73",,,,,,,,,,,,,
"1666701849,74","1,74","6,24",,,,,,,,,,,,
"1666701849,743",,,"1,74","1,73",,,,,,,,,,
"1666701849,746",,,,,"1,68",,,,,,,,,
"1666701849,751","1,74",,,,,,,,,,,,,
"1666701849,761","1,74",,,,,,,,,,,,,
"1666701849,771","1,74",,,,,,,,,,,,,
"1666701849,781","1,74",,,,,,,,,,,,,
"1666701849,791","1,74",,,,,,,,,,,,,
"1666701849,8","1,73","6,24",,,,,,,,,,,,
"1666701849,803",,,"1,73","1,74",,,,,,,,,,
"1666701849,806",,,,,"1,68",,,,,,,,,
"1666701849,811","1,73",,,,,,,,,,,,,
"1666701849,822","1,73",,,,,,,,,,,,,
"1666701849,831","1,73",,,,,,,,,,,,,
"1666701849,841","1,74",,,,,,,,,,,,,
"1666701849,851","1,74",,,,,,,,,,,,,
"1666701849,86","1,74","6,24",,,,,,,,,,,,
"1666701849,863",,,"1,74","1,74",,,,,,,,,,
"1666701849,866",,,,,"1,69",,,,,,,,,
"1666701849,871","1,7",,,,,,,,,,,,,
"1666701849,881","1,74",,,,,,,,,,,,,
"1666701849,891","1,74",,,,,,,,,,,,,
"1666701849,901","1,74",,,,,,,,,,,,,
"1666701849,911","1,74",,,,,,,,,,,,,
"1666701849,92","1,74","6,24",,,,,,,,,,,,
"1666701849,923",,,"1,74","1,74",,,,,,,,,,
"1666701849,926",,,,,"1,69",,,,,,,,,
"1666701849,931","1,73",,,,,,,,,,,,,
"1666701849,941","1,73",,,,,,,,,,,,,
"1666701849,951","1,73",,,,,,,,,,,,,
"1666701849,961","1,73",,,,,,,,,,,,,
"1666701849,971","1,73",,,,,,,,,,,,,
"1666701849,98","1,73","6,24",,,,,,,,,,,,
"1666701849,982",,,"1,73","1,74",,,,,,,,,,
"1666701849,986",,,,,"1,69",,,,,,,,,
"1666701849,994",,,,,,"4,4",,,,,,,,
"1666701850,001","1,73",,,,,,,,,,,,,
"1666701850,011","1,73",,,,,,,,,,,,,
"1666701850,021","1,73",,,,,,,,,,,,,
"1666701850,031","1,73",,,,,,,,,,,,,
"1666701850,041","1,73",,,,,,,,,,,,,
"1666701850,05","1,73","6,24",,,,,,,,,,,,
"1666701850,052",,,"1,73","1,73",,,,,,,,,,
"1666701850,056",,,,,"1,69",,,,,,,,,
"1666701850,061","1,73",,,,,,,,,,,,,
"1666701850,071","1,74",,,,,,,,,,,,,
"1666701850,081","1,74",,,,,,,,,,,,,
