timestamp(ms),StprPos,RawGyA,SmRrCA,CrntGyASlow,SmGyA,FlGyA,CrntGyASlw,RawyA,CrnGyASlow,RwGyA,awGyA,RaGyA,mGyA,RawGA,RawGy,CrntyASlow,CrntGyASlo,mRrCA,FGyA,CrntGyAlow,SmRrA,SmRCA,StprPo,CrtGyASlow,CntGyASlow,Stpros,FlGA,SRrCA,rntGyASlow,SmrCA,CrntGASlow,SmyA,FlyA,CrntGySlow,SmRrC,SGyA,CrntGyASow,SmGA,SmGy,FlGy,
"1666958156,828",,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,838",,"0,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,848",,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,856",,"0,91","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,859",,,,"0,91","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,862",,,,,,"3,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,899","4,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,907",,"0,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,917",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,928",,"0,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,938",,"0,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,948",,"0,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,957",,"1,01","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,959",,,,"1,01","0,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,962",,,,,,"2,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,997","5,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,008",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,018",,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,028",,"1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,037",,"1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,047",,"1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,056",,"1,19","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,059",,,,"1,19","0,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,063",,,,,,"2,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,1","5,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,107",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,118",,"1,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,127",,"1,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,138",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,148",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,156",,"1,33","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,159",,,,"1,33","1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,162",,,,,,"2,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,201","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,208",,"1,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,217",,"1,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,227",,"1,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,238",,"1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,248",,"1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,257",,"1,32","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,259",,,,"1,32","1,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,262",,,,,,"2,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,29","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,298",,"1,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,307",,"1,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,318",,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,327",,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,337",,"1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,346",,"1,27","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,349",,,,"1,27","1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,353",,,,,,"2,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,368","6,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,378",,"1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,388",,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,397",,"1,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,408",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,418",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,426",,"1,29","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,429",,,,"1,29","1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,433",,,,,,"2,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,447","6,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,458",,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,468",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,478",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,488",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,498",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,507",,"1,3","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,509",,,,"1,3","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,513",,,,,,"2,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,527","6,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,538",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,548",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,558",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,567",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,578",,"1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,586",,"1,32","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,589",,,,"1,32","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,592",,,,,,"2,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,606","6,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,618",,"1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,628",,"1,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,638",,"1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,648",,"1,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,656",,"1,38","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,659",,,,"1,38","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,663",,,,,,"2,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,676","6,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,688",,"1,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,698",,"1,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,708",,"1,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,718",,"1,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,727",,"1,48","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,729",,,,"1,48","1,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,732",,,,,,"2,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,751","6,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,757",,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,768",,"1,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,778",,"1,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,788",,"1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,797",,"1,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,806",,"1,54","5,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,809",,,,"1,54","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,813",,,,,,"2,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,835","6,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,848",,"1,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,857",,"1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,868",,"1,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,878",,"1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,887",,"1,51","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,889",,,,"1,51","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,893",,,,,,"2,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,907","6,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,918",,"1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,928",,"1,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
